PLL#49: RA TIRITORI TORITIRA
PLL#50: SHATARA TOSHOTIRO
PLL#51: SHATARA TIRO
PLL#52: RATIRO TOSHU
PLL#55: RIDARO TIRADO ROTIRO
PLL#56: LEOTOLA TARATO REOFA
PLL#57: LEOTOLO TARATO LATAMO
PLL#1: RATAMOTO RATALEO ROTOLEO TALEAFO
PLL#2: FASHATOFOFEASHATOFEO
PLL#3: REORITAROTAREATIREOTAROREA
PLL#4: REORATOREATIREOTORATORIREA
PLL#5: REORATASHATOREARIFARAFO
PLL#6: FASHATANOROTIROFARAFO
PLL#7: SHATAROFARAFOTIROFARAFO
PLL#30: REORATASHATOREIRITARATOREO
PLL#47: FASHATOFO
PLL#48: SHATOROFARAFO
PLL#45: ROTOLEOTALEAFOTARA
PLL#46: SHATOMADOSHOTO
PLL#20: REATIROTORATOREO
PLL#21: LEOTILATALOTALEA
PLL#22: REATASHOTIREO
PLL#23: LEOTOLATOLOTILEA
PLL#24: REARITOSHUTIRATORAREO
PLL#25: REARITASHOTIROTAROREA
PLL#43: ROFASHATOFOTARA
PLL#44: LAFALOTOLATAFATOLO
PLL#8: ROTIRITASHOTIMOTOROTAMA
PLL#9: ROTOSHUDEASHOBA
PLL#10: FEASHATOSHATOFEO
PLL#11: REOTOREATOSHOTOSHOREOTAREA
PLL#35: RATABOTOROTALEATALEO
PLL#36: ROTOFATASHUFORA
PLL#37: FATASHUFO
PLL#38: FOTOLOTALAFA
PLL#12: FASHATOSHATOFO
PLL#13: FOLOTOLATALOTOLATAFA
PLL#14: LEOSHIRALEATIMOTORATALEO
PLL#15: ROFARIBORIFORIBARO
PLL#16: REOTORATOSHOTOROTIREA
PLL#17: REATASHOTOSHOTIREO
PLL#33: SHATASHUTOROFARAFO
PLL#34: ROTORATOSHOTALEATOROTAMA
PLL#18: ROTORANOMOSHUFARATALEO
PLL#19: SHAMAPOSHOBOROTOLEA
PLL#31: ROTILEASHUTALEOTIRA
PLL#32: FASHUTOSHAFO
PLL#26: ROFARATALEOTOLEANOSHU
PLL#27: MOSHUFOSHAMANASHO
PLL#28: LAFALOSHATOLAFOLO
PLL#29: LOBOLAROTORATALOBALA
PLL#39: BORABORITASHATORABI
PLL#40: RITAROBORATORITALEATALEO
PLL#41: SHATARATIROFASHATOFO
PLL#42: ROTOSHUTIRAFASHATOFO
PLL#53: SHATOREASHOTOREO
PLL#54: REASHOREOTIREASHOREO

OLL#1: RITASHATOROTOROTARO
OLL#2: RITOROTORATARATARATORA
OLL#5: ROTORATORATARATOSHOTARITOROTI
OLL#17: REIRITAREIRITIREIRITAREIRI
OLL#3: MAROTARODISHUDILEIMA
OLL#4: MARIDISHADIRATOLEA
OLL#16: LEOTOLOTARATOLASHILATARATOLOTAMO
OLL#8: RATIROTIRABOROTORATALEATARIFAMA
OLL#9: ROTIRATIROFASHATOROFORITO
OLL#10: SHAFOSHATOROFARITOROTO
OLL#11: FILOTOREATILEOSHIRIMI
OLL#12: RATOLATIROTALORATOLATIROTALO
OLL#13: LOTAROTILATOLOSHATILATORA
OLL#18: RITEAROSHIRATEORINOSHO
OLL#19: RITEORATOSHATEARINASHU
OLL#20: SHANORITEOSHUTAROTEARI
OLL#21: LOTOLANORITEASHOTORATEORI
OLL#6: SHOTORIFOTOFATAMASHATORIBOMO
OLL#7: SHATOROFARITOROTOSHAFO
OLL#14: ROSHIMINOROSHILEARATOSHOTAMO
OLL#15: FASHUTOSHAFOSHATOLEOTARATOMO
